NAME,Search Engines and Resources,WEB,Special Sports,Percentage in the Business,Mission Statement,City and State,Sstate,Address,EIN,Bridge Number,Gross Receipts,Assets,Funded Year,CEO or Principal Officer,Gender of Leadership,Cause Area,NTEE Code,IRS Filing Requirement,IRS Subsection
Thunder Rode Inc,Charity Navigator,http://www.thunderrode.org/,Equestrian,3,"Thunder Rode provides confidence building and rehabilitative training to individuals of all ages with special needs, within aspects of the equine industry. This program will have no boundaries regarding developmental growth, program growth and learning potential for individuals, enhancing their abilities to live and work successfully within the community.","Decorah, IA",IA,"1957 Meadowlark Road, Decorah, IA 52101 USA",20-4168110,6529985249,"$30,692 ","$34,406 ",2006,Michelle D McLain-Kruse,Female,"Mental Health Association, Multipurpose; Rehabilitative Medical Services; Equestrian, Riding",F80; E50; N69,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Tok Dog Mushers Association,Guide Star (Sports),http://www.tokdogmushers.org/,Dog Mushing,3,Recreation & education in the sport of dog mushing providing facilities and instruction to the community on howto safely run dogscare forthem and,"Tok , AK",AK,"PO BOX 45, Tok , AK 99780",92-0117255,1466978408,,,1989,Sue Brown,,Other Services,D60,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Trinity College,Guide Star (Women Sports),www.trinitydc.edu,,2,"Trinity, founded in 1897, offers a broad range of educational programs that prepare students across the lifespan for the intellectual, ethical and spiritual dimensions of contemporary work, civic and family life.","Washington, DC",DC,"125 Michigan Ave NE, Washington, DC 20017",53-0196640,2937207345,"$52,402,004 ","$122,630,141 ",1976,Patricia McGuire,Female,"Higher Education Institutions; University or Techonological; Graduate, Professional (Separate Entities)",B40; B43; B50,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Turning Point Women's Counseling and Advocacy Center,Guide Star (Women Sports),WWW.TURNINGPOINTYORK.ORG,,2,"Turning Point Women's Counseling and Advocacy Center gently guides survivors of child sexual abuse towards hope and healing in an environment of safety and unconditional support. It is a place where a woman can share her story, speak her truth, shed her shame and reframe her mindset from victim to survivor.","York, PA",PA,"2100 E Market St, York, PA 17402 USA",45-4043191,6609769427,"$231,506 ","$59,917 ",2013,Deb Stock,Female,Mental Health Treatmen; Counseling Support Groups,F30; F60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
United States Womens National Soccer Team Players Association,Guide Star (Women Sports),www.ussoccer.com,Soccer,1,"The USWNTPA serves as a leading advocate for women's soccer players, pioneering a new era of women's soccer as a preeminent sport. The primary mission of the USWNTPA is to protect the rights of WNT players and to advance and safeguard the economic and social welfare of all wnt players, both on and off the field. The uswntpa is committed to raising the level of women's soccer domestically and continuing to grow the game worldwide.","Portland, OR",OR,"PO BOX 5966, Portland, OR 97228",04-3631930,4340673351,"$371,992 ","$189,622 ",2003,Christine Rampone,Female,Soccer Clubs/Leagues,N64,990 or 990-EZ,"501(c)(5) Labor, Agricultural and Horticultural Organizations"
,,,,,,,,,,,,,,,,,,,
Urban Impact Foundation,Guide Star (Women Sports),www.urbanimpactpittsburgh.org,,4,"To fulfill our part in serving the North Side of Pittsburgh by investing in the lives of at-risk children, youth, and their families in order to develop productive and responsible members of society and the community.","Pittsburgh, PA",PA,"801 Union Avenue, Pittsburgh, PA 15212 USA",25-1752269,1221707146,"$4,070,321 ","$1,409,995 ",1995,Rev. Dr. Edward W Glover,Male,Children's and Youth Services,P30,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Valley Spokesmen Bicycle Club,Guide Star (Women Sports),WWW.VALLEYSPOKESMEN.ORG,Cycling,3,"Encourage bicycle riding, organize rides and tours.","Dublin , CA",CA,"PO Box 2630, Dublin , CA 94568",94-2910031,2682277685,"$162,934 ","$200,322 ",1983,Don Carpenter,Male,,,990 or 990-EZ,501(c)(4) Civic Leagues and Social Welfare Organizations
,,,,,,,,,,,,,,,,,,,
Velocity Recreation,Guide Star (Women Sports),www.velocitycolorado.com,"Softball, Soccer",3,"Velocity is a nonprofit coed homeschool sports league dedicated to teaching children the joy of participating on a team. Children are taught not only how to play the game but also sportsmanship and teamwork. We use positive reinforcement, creative teaching techniques and give guidance at your child's specific developmental level, while emphasizing fun. One of our main goals is to provide low cost activities to homeschool youth.","Westminster, CO",CO,No physical Address,82-0680140,8520283871,,,2017,Eden Benedict,Male,"Recreational, Pleasure, or Social Club",N50,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
VETERANS ADAPTIVE SPORTS,Charity Navigator,http://www.veteransadaptivesports.org/,,3,"To promote rehabilitation of disabled military service veterans through adaptive sports. We serve our veterans with spinal cord injuries, orthopedic amputations, visual impairments and neurological injuries.","Jupiter, FL",FL,"P.O. Box 1633, Jupiter, FL 33468 USA",38-3811657,4306818797,"$36,172 ","$106,514 ",2011,Doug Tuttle,Male,Military/Veterans' Organizations,W30,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Wichita State University Intercollegiate Athletic Assoc Inc.,Guide Star (Women Sports),WWW.GOSHOCKERS.COM,,3,"To schedule, manage and promote athletic contests of Wichita State University in harmony with the general education policy of the university","Wichita, KS",KS,"1845 Fairmount St. Campus BOX 47, Wichita, KS 67260",48-0690618,715407290,,,1972,Eric Sexton,,Student Services and Organizations,B80,Not Required,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women and Girls in Soccer,Guide Star (Women Sports),WWW.WAGSL.COM,Soccer,1,"To provide within Virginia, DC and Maryland educational and character building programs for the benefit of the community through teaching and promoting an interest in the game of soccer, particularly among women 19 years of age and younger, to promote the social welfare of the community through programs that combat juvenile delinquency, sponsor, manage, and operate exhibitions, tournaments, clinics, contests, and other educational acitivies, and encourage and promote exchange programs between participating teams and teams in other jurisdictions.","Fairfax, VA",VA,"4727 Western St, Fairfax, VA 22030",52-1222034,5717080274,"$1,266,575 ","$1,451,662 ",1981,Sally D'Talia,Female,Soccer Clubs/Leagues,N64,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women In Golf Foundation Inc.,Guide Star (Women Sports),www.womeningolffoundation.org,Golf,1,"The Women In Golf Foundation, Inc., headquartered in Atlanta, Ga., is a 501-C3 organization that promotes women in golf. The organization focuses on creating opportunities for women by implementing programs that develop leadership and life skills as they learn to play the game of golf competitively and for business and recreational purposes.","Atlanta, GA",GA,"P.O. Box 16834, Atlanta, GA 30321",58-2527454,1451297618,"$40,743 ","$44,654 ",2001,,,"Golf (Country Clubs, use N50)",N6A,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women in Sports and Events - Detroit,Guide Star (Women Sports),,,1,,"Detroit, MI",MI,"160 W Fort St. Ste 400, Detroiy, MI 48226",82-2265579,,,,2018,,,Education N.E.C.,B99,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women in Sports and Events - San Diego Inc.,Guide Star (Women Sports),wisesandiego.com,,1,,"San Diego, CA",CA,"7710 Hazard Center Dr. Ste E310, San Diego, CA 92108",47-1015816,5563909213,,,2015,Gema Tarango Deleon,,"Professional Societies, Associations",N03,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women in Sports and Events Chicagochapter Inc.,Guide Star (Women Sports),,,1,,"Chicago, IL",IL,"207 E Ohio St. Ste 348, Chicago, IL 60611",20-5826827,7604165887,,,2007,Amy Potter,Female,Promotion of Business (Chambers of Commerce),S41,990-N,"501(c)(6) Business Leagues, etc."
,,,,,,,,,,,,,,,,,,,
Women in Sports and Events Cleveland Inc.,Guide Star (Women Sports),www.wisecleveland.org,,1,,"Cleveland, OH",OH,"PO Box 5783, Cleveland, OH 44101",55-0813650,4560334453,,,2003,Lauren Harris,,Boards of Trade,S46,990-N,"501(c)(6) Business Leagues, etc."
,,,,,,,,,,,,,,,,,,,
Women in Sports and Events Houston Inc.,Guide Star (Women Sports),www.wisehou.org,,1,WISE is the leading voice and resource for professional women,"Houston, TX",TX,"5225 Katy Fwy, Houston, TX 77007",47-5525789,5777852172,"$45,847 ","$31,057 ",2016,Carrie Potter,,"Professional Societies, Associations",T03,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women in Sports and Events Inc.,Guide Star (Women Sports),http://www.wiseworks.org/,,1,"Inspiring, recognizing and providing resources for emerging and established female leaders to succeed in the sports and events industry","New York, NY",NY,"244 Fifth Ave. No. 2087, New York, NY 10001",13-4119533,26299882,"$555,745 ","$236,895 ",2014,Kathleen Francis,Female,Promotion of Business (Chambers of Commerce),S41,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women in Sports and Events Los Angeles Inc.,Guide Star (Women Sports),losangeles.wiseworks.org,,1,"The wise mission is to create and support programs that enhance the success and growth of women in the business of sports and events the organization strives to be the definitive source for businesswomen seeking information about issues, challenges and opportunities impacting all stages of their career - from entry level to senior management and those in transitoin.","Los Angeles, CA",CA,"PO Box 34801, Los Angeles, CA 90034",72-1607106,1660387812,"$76,796 ","$70,279 ",2006,,,Promotion of Business (Chambers of Commerce),S41,990 or 990-EZ,"501(c)(6) Business Leagues, etc."
,,,,,,,,,,,,,,,,,,,
Women in Sports and Events Twin Cities Inc.,Guide Star (Women Sports),http://www.wiseworks.org/,,1,,"Eden Prairie, MN",MN,"9520 Viking Dr, Eden Prairie, MN 55344",82-2162057,2973092526,,,2017,,,"Professional Societies, Associations",T03,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women in Sports Enrichment,Guide Star (Women Sports),www.trailmastercoaching.com/wise/,Cycling,1,,"Nederland, CO",CO,"781 Cougar Run, Nederland, CO 80466",47-2337526,1249230369,,,2015,Ann T Trombley,Female,Fund Raising and Fund Distribution,A12,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women in Sports Foundation,Guide Star (Women Sports),www.womenssportsfoundation.org,,1,"Our mission today - we are dedicated to creating leaders by ensuring girls access to sports. We provide financial fuel to aspiring champion athletes. We fund groundbreaking research. We educate. We advocate. And we help communities get girls active. Sure, there's a long way to go. But, it's gratifying to see our hard work make such a difference.","Keswick, VA",VA,"1865 Graham Ct., Keswick, VA 22947",31-1766079,4745791304,,,2001,Susan Turner,Female,Fund Raising and Fund Distribution,N12,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women in Sports Tech,Guide Star (Women Sports),http://womeninsportstech.org/,,4,"WiST is the leading organization to bring together companies, their executives, young professionals, and students who share a passion for innovative technologies that impact success throughout the business of sport.","Mill Valley, CA",CA,"130 Buena Vista Ave. Mill Valley, CA 94941",82-3098987,,,,2018,,,Alliance/Advocacy Organizations,W01,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women Sports Link,Charity Navigator,http://www.womenshealthlink.org/,,2,Women's Health Link provides a helping hand to women as they seek providers and navigate the too often complicated health care process.,"Addison, VT",VT,"53 Tri-Town Rd, Addison, VT 05491",03-0363192,3592612102,"$29,672 ","$2,558 ",2000,,,"Scholarships, Student Financial Aid, Awards",B82,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women Win,Guide Star (Women Sports),www.womenwin.org,,1,Equip adolescent girls to exercise their rights through sport.,"Jamaica Plain, MA",MA,"44 Halifax Street, Jamaica Plain, MA 02130 USA",26-4645645,2715473224,"$473,340 ","$1,889,773 ",2009,Maria Bobenrieth,Female,International Exchanges,Q23,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Womens Excellence 4 Life,Guide Star (Women Sports),utahfalconz.com,Football,1,"The mission of the Women's Excellence 4 Life Foundation is to lift, inspire, teach and empower women through football with the Utah Falconz. Our support to women's football allows us to teach the Four Pillars of Excellence which are: Leadership, Life Skills, Financial Education and Self-Worth. Through the Four Pillars of Excellence we are able to bring value and worth to the women in our community. The Utah Falconz have given opportunities to over 200 women in learning leadership and life skills on the field of play as well as the ability to serve in leadership capacities on our board and in our committees. Our Athlete to Leader program gives women the opportunity to gain leadership skills that will help aid them in their own lives in the workplace, school, home and beyond.","South Jordan, UT",UT,"4127 W Otter Brook Dr. South Jordan, UT 84009",81-0984969,2191011648,,,2017,Hiroko Jolley,Female,"Leadership Development; Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Womens Internatoinal Match Race Associatoin Inc.,Charity Navigator,http://www.wimra.org,Yacht racing,1,The Women's International Match Racing Association is an international association of women sailors devoted to expanding and strengthening women's match racing as a sport and promoting opportunities for competitive women's sailing at every level.,"San Rafael, CA",CA,"15 Margarita Drive, San Rafael, CA 94901",26-0271071,4557887710,"$264,207 ","$134,422 ",2008,Elizabeth Baylis,Female,"Swimming, Water Recreation",N67,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women's Intersport Network Dba Win for Kc,Guide Star (Women Sports),www.winforkc.org,,1,"WIN for KC empowers girls and women through advocating and promoting the lifetime value of sports and fitness, while providing opportunities for participation and leadership development","Kansas City, MO",MO,"114 West 11th Street Suite 300, Kansas City, MO 64105",43-1530518,7670580881,"$1,859,541 ","$1,979,354 ",1990,Kathy Nelson,Female,"Amateur Sports Clubs, Leagues, N.E.C.",N60,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Womens Law Project,Guide Star (Women Sports),http://www.womenslawproject.org/,,2,"The Women's Law Project creates a more just and equitable society by advancing the rights and status of all women throughout their lives. To this end, we engage in high- impact litigation, advocacy, and education. Our core values are the belief in the right of all women to bodily integrity and personal autonomy; dedication to listening to women and being guided by their experiences; and commitment to fairness, equality and justice.","Philadelphia, PA",PA,"125 S. 9th Street Suite 300 Philadelphia, PA 19107 USA",23-7354667,5220920732,"$991,077 ","$546,354 ",1974,Carol E. Tracy,Female,"Women's Rights; Reproductive Rights; Civil Rights, Social Actoin, and Advocacy N.E.C.",R99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women's Sports Foundation,Guide Star (Women Sports),https://www.womenssportsfoundation.org,,1,"Founded in 1974 by tennis legend, Billie Jean King, the Women's Sports Foundation is dedicated to creating leaders by ensuring all girls access to sports, to advance the lives of girls and women through sport and physical activity","New York, NY",NY,"247 West 30 th Street 7R New York, NY 10001 USA",23-7380557,4815863273,"$509,166 ","$248,731 ",1974,Deborah Antine,,Alliance/Advocacy Organizations; Research Institutes and/or Public Policy Analysis; Women's Rights,"N01, W05, R24",990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Womens Sports Museum,Guide Star (Women Sports),www.womenssportsmuseum.com,,1,"The Women's Sports Museum is dedicated to preserve the history and promote excellence in women's athletics. To honor the past, the WSM aim is to inspire and educate future generations about opportunities that abound in sport.","Sarasita, FL",FL,"401 S Palm Ave. Unit 501, Sarasota, FL 34236",47-4687516,7064172281,"$79,740 ","$30,433 ",2016,Peter Fanning,Male,Museum & Museum Activities,A50,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Womens Wilderness Institute,Guide Star (Women Sports),www.womenswilderness.org,,2,"The Women's Wilderness Institute's mission is to strengthen the courage, confidence, and leadership skills of girls and women, through the challenge and support of group wilderness and community-based experiences.","Boulder, CO",CO,"1501 Lee Hill Road Unit 16, Boulder, CO 80304",84-1439821,1177979774,"$218,163 ","$71,987 ",1998,Shari Leach,Female,"Human Services - Multipurpose and Other N.E.C.; Other Youth Development N.E.C.; Other Recreation, Sports, or Leisure Activities N.E.C.",P99; O99; N99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Women's World Golf Rankings Inc,Guide Star (Women Sports),www.wwgr.net,Golf,1,"To promote the development and advancement of women's golf on a global basis; to develop clear member initiatives and endeavors surrounding women's golf as a global sport; and to guide the direction, operation, and on-going development of a rankings system to establish a reputable order of the world's best female golfers.","Daytona Beach, FL",FL,"100 International Golf Dr, Daytona Beach, FL 32124",46-1415224,2973937283,"$250,900 ","$205,031 ",2014,Heather Daly-Donoforio,Female,"Golf (Country Clubs, use N50)",N6A,990 or 990-EZ,"501(c)(6) Business Leagues, etc."
,,,,,,,,,,,,,,,,,,,
"Wrestle Like a Girl, Inc.",Guide Star (Women Sports),www.wrestlelikeagirl.org,Wrestling,1,"To empower, advocate, educate, support and grow females using wrestling.","Colorado Spgs, CO",CO,"121 South Tejon Street Suite 900, Colorado Spgs, CO 80903 USA",81-2428825,6442666836,,,2016,Sally Roberts,Female,Alliance/Advocacy Organizations,N01,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Young Women in Sports Inc.,Guide Star (Women Sports),http://www.youngwomeninsport.com/,,1,The organization provides opportunities for young female athletes to learn from other women about the value of athletics and to gain an understanding about life lessons that they can learn through sports,"Hingham, MA",MA,"4 Steamboat LN, Hingham, MA 02043",47-5308570,5472172223,,,2015,Mary Ellen McLaughlin,Female,Alliance/Advocacy Organizations,N01,990-N,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
Youth Sports of Stockton Inc,Guide Star (Women Sports),www.bratsports.org,Softball,1,"The primary mission is to organize, promote, and run softball tournaments, a key end being to enable talented young women athletes to show their abilities to college sport and other recruiters, thus enabling some of them to secure scholarship monies or other resources.","Stockton, CA",CA,"8900 Thornton Rd STE 18, Stockton, CA 95209",47-1259221,8263576193,"$457,250 ","$69,585 ",2014,Roy S. Taylor,Male,"Recreational, Pleasure, or Social Club",N50,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
YWCA Mankato,Guide Star (Women Sports),www.mankatoywca.org,,2,"The YWCA is dedicated to eliminating racism, empowering women and promoting peace, justice, freedom and dignity for all.","Mankato, MN",MN,"127 S 2nd St, Suite 200, Mankato, MN 56001 USA",41-0711619,3297606310,"$605,137 ","$971,998 ",1945,Barb Dorn,Male,"Women's Rights; Youth Development Programs; Civil Rights, Social Action, and Advocacy N.E.C.",R24; O50; R99,990 or 990-EZ,501(c)(3) Public Charity
,,,,,,,,,,,,,,,,,,,
YWCA USA,Guide Star (Women Sports),www.ywca.org,,1,"YWCA is dedicated to eliminating racism, empowering women and promoting peace, justice, freedom and dignity for all.","Washington, DC",DC,"1020 19th Street NW Suite 750, Washington, DC 20036 USA",13-1624103,3505822254,"$26,481,921 ","$63,988,999 ",1972,Alejandra Y. Castillo Esq.,,"YMCA, YWCA, YWHA, YMHA; Civil Rights, Social Action, and Advocacy N.E.C.; Single Organization Support",P27; R99; W11,990 or 990-EZ,501(c)(3) Public Charity
